,topic,subtopic,video,video_length_[mins],video_length_[hrs]
37,01 Anatomy 34h27m,02 Gross Anatomy,"32 Abdomen, Pelvis, and Perineum - Embryology of Urinary System.mp4",31.61,0.53
38,01 Anatomy 34h27m,02 Gross Anatomy,"33 Abdomen, Pelvis, and Perineum - Pelvis and Perineum.mp4",36.96,0.62
39,01 Anatomy 34h27m,02 Gross Anatomy,"34 Abdomen, Pelvis, and Perineum - Abdominal Imaging.mp4",14.47,0.24
40,01 Anatomy 34h27m,02 Gross Anatomy,35 Upper Limb - Upper Limb Brachial Plexus.mp4,22.2,0.37
41,01 Anatomy 34h27m,02 Gross Anatomy,36 Upper Limb - Nerve Injuries.mp4,44.76,0.75
42,01 Anatomy 34h27m,02 Gross Anatomy,37 Upper Limb - Arterial Supply and Rotator Cuff.mp4,20.05,0.33
43,01 Anatomy 34h27m,02 Gross Anatomy,38 Lower Limb - Lower Limb Lumbosacral Plexus.mp4,24.88,0.41
44,01 Anatomy 34h27m,02 Gross Anatomy,39 Lower Limb - Blood Supply of the Lower Limb.mp4,9.71,0.16
45,01 Anatomy 34h27m,02 Gross Anatomy,40 Lower Limb - The Knee and Ankle.mp4,13.48,0.22
46,01 Anatomy 34h27m,02 Gross Anatomy,41 Head and Neck - Head and Neck.mp4,22.62,0.38
47,01 Anatomy 34h27m,02 Gross Anatomy,42 Head and Neck - Embryology of the Head and Neck.mp4,32.79,0.55
48,01 Anatomy 34h27m,03 Neuroscience,01 Nervous System Organization and Development - Nervous System Organization and Development.mp4,23.02,0.38
49,01 Anatomy 34h27m,03 Neuroscience,02 Nervous System Organization and Development - Congenital Malformations of the Nervous System.mp4,14.34,0.24
50,01 Anatomy 34h27m,03 Neuroscience,03 Nervous System Organization and Development - Germ Layer Derivatives Ectoderm.mp4,5.92,0.1
51,01 Anatomy 34h27m,03 Neuroscience,04 Nervous System Organization and Development - Autonomic Nervous System General Organization.mp4,12.5,0.21
52,01 Anatomy 34h27m,03 Neuroscience,05 Nervous System Organization and Development - Parasympathetic and Sympathetic Outflow.mp4,14.29,0.24
53,01 Anatomy 34h27m,03 Neuroscience,06 Nervous System Organization and Development - Cross Section of Spinal Cord.mp4,2.2,0.04
54,01 Anatomy 34h27m,03 Neuroscience,07 Histology of the Nervous System - Histology of the Nervous System.mp4,5.13,0.09
55,01 Anatomy 34h27m,03 Neuroscience,08 Histology of the Nervous System - Axonal transport.mp4,7.33,0.12
56,01 Anatomy 34h27m,03 Neuroscience,09 Histology of the Nervous System - Glial and Supporting Cells.mp4,11.79,0.2
57,01 Anatomy 34h27m,03 Neuroscience,10 Histology of the Nervous System - Conditions of Impaired Myelination.mp4,4.99,0.08
58,01 Anatomy 34h27m,03 Neuroscience,11 Histology of the Nervous System - Histology of the Peripheral Nervous System.mp4,1.83,0.03
59,01 Anatomy 34h27m,03 Neuroscience,12 Histology of the Nervous System - Blood Brain Barrier.mp4,2.57,0.04
60,01 Anatomy 34h27m,03 Neuroscience,"13 Histology of the Nervous System - Axotomy, Chromatolysis, and Regeneration.mp4",4.71,0.08
61,01 Anatomy 34h27m,03 Neuroscience,14 Histology of the Nervous System - Primary Tumors.mp4,4.74,0.08
62,01 Anatomy 34h27m,03 Neuroscience,15 Ventricular System - Ventricular System.mp4,17.6,0.29
63,01 Anatomy 34h27m,03 Neuroscience,16 The Spinal Cord - The Spinal Cord General Features.mp4,18.14,0.3
64,01 Anatomy 34h27m,03 Neuroscience,17 The Spinal Cord - Dorsal Horn.mp4,8.67,0.14
65,01 Anatomy 34h27m,03 Neuroscience,18 The Spinal Cord - Ventral Horn.mp4,6.02,0.1
66,01 Anatomy 34h27m,03 Neuroscience,19 The Spinal Cord - Neural Systems Introduction.mp4,1.57,0.03
67,01 Anatomy 34h27m,03 Neuroscience,20 The Spinal Cord - Motor System.mp4,24.97,0.42
68,01 Anatomy 34h27m,03 Neuroscience,21 The Spinal Cord - Commonly Tested Muscle Stretch Reflexes.mp4,11.72,0.2
69,01 Anatomy 34h27m,03 Neuroscience,22 The Spinal Cord - UMN vs LMN Lesions.mp4,11.94,0.2
70,01 Anatomy 34h27m,03 Neuroscience,23 The Spinal Cord - Sensory Systems.mp4,33.79,0.56
71,01 Anatomy 34h27m,03 Neuroscience,24 The Spinal Cord - Spinocerebellar Pathways.mp4,6.58,0.11
72,01 Anatomy 34h27m,03 Neuroscience,25 The Spinal Cord - Spinal Cord Levels and Pathways.mp4,14.74,0.25
73,01 Anatomy 34h27m,03 Neuroscience,26 The Spinal Cord - Brown-Se´quard Syndrome.mp4,8.82,0.15
74,01 Anatomy 34h27m,03 Neuroscience,27 The Spinal Cord - Lesions of the Spinal Cord I.mp4,22.45,0.37
75,01 Anatomy 34h27m,03 Neuroscience,28 The Spinal Cord - Lesions of the Spinal Cord II.mp4,15.7,0.26
76,01 Anatomy 34h27m,03 Neuroscience,29 The Brain Stem - The Brain Stem.mp4,19.63,0.33
77,01 Anatomy 34h27m,03 Neuroscience,30 The Brain Stem - Upper Midbrain.mp4,8.17,0.14
78,01 Anatomy 34h27m,03 Neuroscience,31 The Brain Stem - Lower Midbrain.mp4,4.87,0.08
79,01 Anatomy 34h27m,03 Neuroscience,32 The Brain Stem - Middle Pons.mp4,7.6,0.13
80,01 Anatomy 34h27m,03 Neuroscience,33 The Brain Stem - Lower Pons.mp4,6.92,0.12
81,01 Anatomy 34h27m,03 Neuroscience,34 The Brain Stem - Medulla.mp4,13.53,0.23
82,01 Anatomy 34h27m,03 Neuroscience,35 The Brain Stem - Cranial Nerves I And II.mp4,5.73,0.1
83,01 Anatomy 34h27m,03 Neuroscience,"36 The Brain Stem - Cranial Nerves III, IV, And VI.mp4",22.67,0.38
84,01 Anatomy 34h27m,03 Neuroscience,"37 The Brain Stem - Cranial Nerve V, VII and VIII.mp4",12.54,0.21
85,01 Anatomy 34h27m,03 Neuroscience,"38 The Brain Stem - Cranial Nerves IX, X, XI and XII.mp4",12.51,0.21
86,01 Anatomy 34h27m,03 Neuroscience,39 The Brain Stem - Trigeminal nuclei.mp4,12.06,0.2
87,01 Anatomy 34h27m,03 Neuroscience,40 The Brain Stem - Corticobulbar (Corticonuclear) Innervation of Cranial Nerve Nuclei.mp4,9.23,0.15
88,01 Anatomy 34h27m,03 Neuroscience,"41 The Brain Stem - Components Of The Ear, Auditory, And Vestibular System.mp4",13.61,0.23
89,01 Anatomy 34h27m,03 Neuroscience,42 The Brain Stem - Auditory System.mp4,7.74,0.13
90,01 Anatomy 34h27m,03 Neuroscience,43 The Brain Stem - Vestibular System.mp4,10.22,0.17
91,01 Anatomy 34h27m,03 Neuroscience,44 The Brain Stem - Caloric Test.mp4,7.43,0.12
92,01 Anatomy 34h27m,03 Neuroscience,45 The Brain Stem - Horizontal Conjugate Gaze.mp4,16.1,0.27
93,01 Anatomy 34h27m,03 Neuroscience,46 The Brain Stem - Blood Supply To The Brain Stem.mp4,3.9,0.06
94,01 Anatomy 34h27m,03 Neuroscience,47 The Brain Stem - Medullary Lesions.mp4,10.75,0.18
95,01 Anatomy 34h27m,03 Neuroscience,48 The Brain Stem - Pons Lesions.mp4,7.87,0.13
96,01 Anatomy 34h27m,03 Neuroscience,49 The Brain Stem - Midbrain Lesions.mp4,4.96,0.08
97,01 Anatomy 34h27m,03 Neuroscience,50 The Brain Stem - Strategy for the Study of Lesions.mp4,4.55,0.08
98,01 Anatomy 34h27m,03 Neuroscience,51 The Cerebellum - The Cerebellum.mp4,14.93,0.25
99,01 Anatomy 34h27m,03 Neuroscience,52 The Cerebellum - Cerebellar Cytoarchitecture.mp4,9.98,0.17
100,01 Anatomy 34h27m,03 Neuroscience,53 The Cerebellum - Circuitry.mp4,5.36,0.09
101,01 Anatomy 34h27m,03 Neuroscience,54 The Cerebellum - Cerebellar Lesions.mp4,10.03,0.17
102,01 Anatomy 34h27m,03 Neuroscience,55 Basal Ganglia - Basal Ganglia.mp4,8.38,0.14
103,01 Anatomy 34h27m,03 Neuroscience,56 Basal Ganglia - Basal Ganglia Pathways.mp4,9.39,0.16
104,01 Anatomy 34h27m,03 Neuroscience,57 Basal Ganglia - Basal Ganglia Structures.mp4,5.24,0.09
105,01 Anatomy 34h27m,03 Neuroscience,58 Basal Ganglia - Diseases of the Basal Ganglia.mp4,9.04,0.15
106,01 Anatomy 34h27m,03 Neuroscience,59 Visual Pathways - Visual Pathways.mp4,7.33,0.12
107,01 Anatomy 34h27m,03 Neuroscience,60 Visual Pathways - Visual Reflexes.mp4,6.21,0.1
108,01 Anatomy 34h27m,03 Neuroscience,61 Visual Pathways - Clinical Correlates Pupillary Abnormalities.mp4,8.81,0.15
109,01 Anatomy 34h27m,03 Neuroscience,62 Visual Pathways - Eyeball And Optic Nerve.mp4,11.11,0.19
110,01 Anatomy 34h27m,03 Neuroscience,63 Visual Pathways - Visual Field Defects.mp4,39.8,0.66
111,01 Anatomy 34h27m,03 Neuroscience,64 Diencephalon - Diencephalon.mp4,7.34,0.12
112,01 Anatomy 34h27m,03 Neuroscience,65 Diencephalon - Thalamus.mp4,6.49,0.11
113,01 Anatomy 34h27m,03 Neuroscience,66 Diencephalon - Hypothalamus.mp4,21.23,0.35
114,01 Anatomy 34h27m,03 Neuroscience,67 Diencephalon - Epithalamus.mp4,3.65,0.06
115,01 Anatomy 34h27m,03 Neuroscience,68 Cerebral Cortex - Cerebral Cortex Right Hemisphere.mp4,19.12,0.32
116,01 Anatomy 34h27m,03 Neuroscience,69 Cerebral Cortex - Blood Supply of the Brain.mp4,18.08,0.3
117,01 Anatomy 34h27m,03 Neuroscience,70 Cerebral Cortex - Cerebrovascular Disorders.mp4,3.02,0.05
118,01 Anatomy 34h27m,03 Neuroscience,71 Cerebral Cortex - Cerebral Cortex Left Hemisphere.mp4,12.23,0.2
119,01 Anatomy 34h27m,03 Neuroscience,72 Cerebral Cortex - Clinical Correlates Part 1.mp4,23.73,0.4
120,01 Anatomy 34h27m,03 Neuroscience,73 Cerebral Cortex - Clinical Correlates Part 2.mp4,14.72,0.25
121,01 Anatomy 34h27m,03 Neuroscience,74 Cerebral Cortex - CNS Blood SUpply and Stroke Related Deficits.mp4,8.69,0.14
122,01 Anatomy 34h27m,03 Neuroscience,75 Cerebral Cortex - Key Features of Lobes.mp4,10.62,0.18
123,01 Anatomy 34h27m,03 Neuroscience,76 Lymbic System - Limbic System.mp4,25.91,0.43
124,01 Anatomy 34h27m,04 Clinical Correlates & Animations,01 Alzheimer Disease.mp4,18.41,0.31
125,01 Anatomy 34h27m,04 Clinical Correlates & Animations,02 Cystic Fibrosis(CF).mp4,10.76,0.18
126,01 Anatomy 34h27m,04 Clinical Correlates & Animations,03 Congestive Heart Failure (CHF).mp4,11.1,0.18
127,01 Anatomy 34h27m,04 Clinical Correlates & Animations,04 Multiple Sclerosis (MS).mp4,22.05,0.37
128,01 Anatomy 34h27m,04 Clinical Correlates & Animations,05 Osteoporosis.mp4,20.41,0.34
129,01 Anatomy 34h27m,04 Clinical Correlates & Animations,06 Pernicious Anemia.mp4,7.77,0.13
130,01 Anatomy 34h27m,04 Clinical Correlates & Animations,07 Acute Pancreatitis.mp4,13.34,0.22
131,01 Anatomy 34h27m,04 Clinical Correlates & Animations,08 Visual Pathways.mp4,11.66,0.19
132,01 Anatomy 34h27m,04 Clinical Correlates & Animations,09 Spermatogenesis.mp4,5.82,0.1
133,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,01 Epidemiology - Epidemiologic Measures.mp4,47.58,0.79
134,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,02 Epidemiology - Diseases within a Population.mp4,9.81,0.16
135,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,03 Epidemiology - Incidence and Prevalence.mp4,26.86,0.45
136,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,04 Epidemiology - Types of Rates.mp4,10.65,0.18
137,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,05 Epidemiology - Prevention.mp4,8.12,0.14
138,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,06 Epidemiology - Screening Tests.mp4,14.61,0.24
139,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,07 Epidemiology - Post-Test Probabilities.mp4,17.75,0.3
140,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,08 Epidemiology - Double Hump Graph.mp4,12.51,0.21
141,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,09 Epidemiology - Bias in Research.mp4,20.3,0.34
142,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,10 Epidemiology - Observational and Cohort Studies.mp4,34.31,0.57
143,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,11 Epidemiology - Case-Control Studeis.mp4,8.12,0.14
144,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,12 Epidemiology - Clinical Trials.mp4,8.38,0.14
145,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,13 Biostatistics - Key Probability Rules.mp4,18.64,0.31
146,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,14 Biostatistics - Descriptive Statistics.mp4,14.72,0.25
147,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,15 Biostatistics - Inferential Statistics.mp4,36.88,0.61
148,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,16 Biostatistics - Scale.mp4,7.71,0.13
149,02 Behavioral Science 20h7m,01 Epidemiology & Biostats,17 Biostatistics - Statistical Tests.mp4,6.66,0.11
150,02 Behavioral Science 20h7m,02 Behavioral Science,01 Developmental Life Cycle - Stages of Development.mp4,29.39,0.49
151,02 Behavioral Science 20h7m,02 Behavioral Science,01 Epidemiology - Epidemiologic Measures.mp4,47.58,0.79
152,02 Behavioral Science 20h7m,02 Behavioral Science,02 Developmental Life Cycle - Sexuality.mp4,10.27,0.17
153,02 Behavioral Science 20h7m,02 Behavioral Science,02 Epidemiology - Diseases within a Population.mp4,9.81,0.16
154,02 Behavioral Science 20h7m,02 Behavioral Science,03 Developmental Life Cycle - Aging.mp4,16.23,0.27
155,02 Behavioral Science 20h7m,02 Behavioral Science,03 Epidemiology - Incidence and Prevalence.mp4,26.86,0.45
156,02 Behavioral Science 20h7m,02 Behavioral Science,04 Developmental Life Cycle - Dead And Suicide.mp4,9.85,0.16
157,02 Behavioral Science 20h7m,02 Behavioral Science,04 Epidemiology - Types of Rates.mp4,10.65,0.18
158,02 Behavioral Science 20h7m,02 Behavioral Science,05 Epidemiology - Prevention.mp4,8.12,0.14
159,02 Behavioral Science 20h7m,02 Behavioral Science,05 Theories of Learning and Behavioral Modification - Learning.mp4,24.83,0.41
160,02 Behavioral Science 20h7m,02 Behavioral Science,06 Epidemiology - Screening Tests.mp4,14.61,0.24
161,02 Behavioral Science 20h7m,02 Behavioral Science,06 Theories of Learning and Behavioral Modification - Behavioral Modification.mp4,13.03,0.22
162,02 Behavioral Science 20h7m,02 Behavioral Science,07 Defense Mechanisms - Psychic Structures.mp4,3.78,0.06
163,02 Behavioral Science 20h7m,02 Behavioral Science,07 Epidemiology - Post-Test Probabilities.mp4,17.75,0.3
164,02 Behavioral Science 20h7m,02 Behavioral Science,08 Defense Mechanisms - Defense Mechanisms_ Narcissistic.mp4,11.71,0.2
165,02 Behavioral Science 20h7m,02 Behavioral Science,08 Epidemiology - Double Hump Graph.mp4,12.51,0.21
166,02 Behavioral Science 20h7m,02 Behavioral Science,09 Defense Mechanisms - Defense Mechanisms_ Immature.mp4,8.89,0.15
167,02 Behavioral Science 20h7m,02 Behavioral Science,09 Epidemiology - Bias in Research.mp4,20.3,0.34
168,02 Behavioral Science 20h7m,02 Behavioral Science,10 Defense Mechanisms - Defense Mechanisms_ Anxiety.mp4,18.45,0.31
169,02 Behavioral Science 20h7m,02 Behavioral Science,10 Epidemiology - Observational and Cohort Studies.mp4,34.31,0.57
170,02 Behavioral Science 20h7m,02 Behavioral Science,11 Defense Mechanisms - Defense Mechanisms_ Mature.mp4,4.07,0.07
171,02 Behavioral Science 20h7m,02 Behavioral Science,11 Epidemiology - Case-Control Studeis.mp4,8.12,0.14
172,02 Behavioral Science 20h7m,02 Behavioral Science,12 Epidemiology - Clinical Trials.mp4,8.38,0.14
173,02 Behavioral Science 20h7m,02 Behavioral Science,12 Psychological Health and Testing - Stress.mp4,11.49,0.19
174,02 Behavioral Science 20h7m,02 Behavioral Science,13 Biostatistics - Key Probability Rules.mp4,18.64,0.31
175,02 Behavioral Science 20h7m,02 Behavioral Science,13 Psychological Health and Testing - Intelligence and Personality Testing.mp4,10.93,0.18
176,02 Behavioral Science 20h7m,02 Behavioral Science,14 Biostatistics - Descriptive Statistics.mp4,14.72,0.25
177,02 Behavioral Science 20h7m,02 Behavioral Science,14 Substance Use Disorders - Alcohol and Tobacco Use.mp4,9.3,0.16
178,02 Behavioral Science 20h7m,02 Behavioral Science,15 Biostatistics - Inferential Statistics.mp4,36.88,0.61
179,02 Behavioral Science 20h7m,02 Behavioral Science,15 Substance Use Disorders - Diagnosis and Management.mp4,21.33,0.36
180,02 Behavioral Science 20h7m,02 Behavioral Science,16 Biostatistics - Scale.mp4,7.71,0.13
181,02 Behavioral Science 20h7m,02 Behavioral Science,16 Substance Use Disorders - Intoxication Withdrawal and Treatment.mp4,30.86,0.51
182,02 Behavioral Science 20h7m,02 Behavioral Science,17 Sleep and Sleep Disorders - Sleep Architecture.mp4,19.57,0.33
183,02 Behavioral Science 20h7m,02 Behavioral Science,18 Sleep and Sleep Disorders - Sleep Disorders.mp4,15.48,0.26
184,02 Behavioral Science 20h7m,02 Behavioral Science,19 Psychiatric (DSM-5) Disorders - Childhood and Adolescence.mp4,20.51,0.34
185,02 Behavioral Science 20h7m,02 Behavioral Science,20 Psychiatric (DSM-5) Disorders - Thought Disorders.mp4,11.84,0.2
186,02 Behavioral Science 20h7m,02 Behavioral Science,21 Psychiatric (DSM-5) Disorders - Mood Disorders.mp4,12.89,0.21
187,02 Behavioral Science 20h7m,02 Behavioral Science,22 Psychiatric (DSM-5) Disorders - Anxiety Disorders.mp4,9.3,0.16
188,02 Behavioral Science 20h7m,02 Behavioral Science,23 Psychiatric (DSM-5) Disorders - Obsessive Compulsive Disorder and Related Disorders.mp4,8.04,0.13
189,02 Behavioral Science 20h7m,02 Behavioral Science,24 Psychiatric (DSM-5) Disorders - Trauma and Stressor-Related Disorders.mp4,7.33,0.12
190,02 Behavioral Science 20h7m,02 Behavioral Science,25 Psychiatric (DSM-5) Disorders - Eating Disorders.mp4,5.36,0.09
191,02 Behavioral Science 20h7m,02 Behavioral Science,26 Psychiatric (DSM-5) Disorders - Somatic Symptom and Related Disorders.mp4,8.74,0.15
192,02 Behavioral Science 20h7m,02 Behavioral Science,27 Psychiatric (DSM-5) Disorders - Dissociative Disorders.mp4,2.45,0.04
193,02 Behavioral Science 20h7m,02 Behavioral Science,28 Psychiatric (DSM-5) Disorders - Personality Disorders.mp4,10.96,0.18
194,02 Behavioral Science 20h7m,02 Behavioral Science,29 Psychiatric (DSM-5) Disorders - Sexual Disorders.mp4,11.4,0.19
195,02 Behavioral Science 20h7m,02 Behavioral Science,30 Psychopharmacology - Antipsychotic Medications.mp4,14.14,0.24
196,02 Behavioral Science 20h7m,02 Behavioral Science,31 Psychopharmacology - Antidepressant Medications.mp4,14.52,0.24
197,02 Behavioral Science 20h7m,02 Behavioral Science,32 Psychopharmacology - Mood Stabilizer Medications.mp4,6.17,0.1
198,02 Behavioral Science 20h7m,02 Behavioral Science,33 Psychopharmacology - Antianxiety Medications.mp4,4.2,0.07
199,02 Behavioral Science 20h7m,02 Behavioral Science,34 Brain Function and Neurocognitive Disorders - Areas of the Brain.mp4,6.35,0.11
200,02 Behavioral Science 20h7m,02 Behavioral Science,35 Brain Function and Neurocognitive Disorders - Aphasia.mp4,3.69,0.06
201,02 Behavioral Science 20h7m,02 Behavioral Science,36 Brain Function and Neurocognitive Disorders - Neurotransmitters.mp4,9.62,0.16
202,02 Behavioral Science 20h7m,02 Behavioral Science,37 Brain Function and Neurocognitive Disorders - Neurocognitive Disorders.mp4,27.84,0.46
203,02 Behavioral Science 20h7m,02 Behavioral Science,"38 Ethics, Law, and Physician Behavior - Legal Issues.mp4",11.56,0.19
204,02 Behavioral Science 20h7m,02 Behavioral Science,"39 Ethics, Law, and Physician Behavior - Autonomy and Informed Consent.mp4",6.74,0.11
205,02 Behavioral Science 20h7m,02 Behavioral Science,"40 Ethics, Law, and Physician Behavior - Committed Patients.mp4",13.38,0.22
206,02 Behavioral Science 20h7m,02 Behavioral Science,"41 Ethics, Law, and Physician Behavior - Advance Directives and Confidentiality.mp4",6.37,0.11
207,02 Behavioral Science 20h7m,02 Behavioral Science,"42 Ethics, Law, and Physician Behavior - Minors.mp4",6.52,0.11
208,02 Behavioral Science 20h7m,02 Behavioral Science,"43 Ethics, Law, and Physician Behavior - Physician-Assisted Suicide and Other Laws.mp4",8.59,0.14
209,02 Behavioral Science 20h7m,02 Behavioral Science,"44 Ethics, Law, and Physician Behavior - Abuse.mp4",7.66,0.13
210,02 Behavioral Science 20h7m,02 Behavioral Science,"45 Ethics, Law, and Physician Behavior - Patient-Centered Interview.mp4",23.42,0.39
211,02 Behavioral Science 20h7m,02 Behavioral Science,"46 Ethics, Law, and Physician Behavior - Physician-Patient Relationship.mp4",27.14,0.45
212,02 Behavioral Science 20h7m,02 Behavioral Science,"47 Ethics, Law, and Physician Behavior - Physician-Patient Relationship_ Treatment Issues.mp4",9.77,0.16
213,02 Behavioral Science 20h7m,02 Behavioral Science,"48 Ethics, Law, and Physician Behavior - Unconscious Interactions.mp4",7.3,0.12
214,02 Behavioral Science 20h7m,02 Behavioral Science,49 Health Care Delivery Systems - Payer Systems.mp4,6.72,0.11
215,02 Behavioral Science 20h7m,02 Behavioral Science,50 Health Care Delivery Systems - Health Care Definitions.mp4,5.96,0.1
216,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,01 Scope of the Problem-Scope of the Problem.mp4,5.25,0.09
217,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,02 Scope of the Problem- Medication Err.mp4,3.94,0.07
218,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,03 Scope of the Problem- Hospital-Acquired Infections.mp4,5.56,0.09
219,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,04 Scope of the Problem- Patient Falls.mp4,2.7,0.05
220,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,05 Scope of the Problem- Unplanned Readmissions.mp4,3.45,0.06
221,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,06 Medical Error - Causes of Medical Error.mp4,11.52,0.19
222,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,07 Medical Error - Types of Medical Error.mp4,12.86,0.21
223,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,08 Medical Error - Systems Approach to Medical Error and Failure.mp4,8.98,0.15
224,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,09 Medical Error - Error Disclosure and Reporting.mp4,6.82,0.11
