,topic,subtopic,video,video_length_[mins]
18,07 Physiology 34h33m,04 Cardiovascular,07 Regulation of Blood Flow and Pressure - Regulation of Blood Flow and Pressure.mp4,72.3235
19,07 Physiology 34h33m,04 Cardiovascular,08 Cardiac Cycle and Valvular Heart Disease - Cardiac Cycle and Valvular Heart Disease.mp4,59.13866667
20,07 Physiology 34h33m,04 Cardiovascular,03 Cardiovascular Mechanics - Chronic Changes-Systolic and Diastolic Dysfunction.mp4,14.6085
21,07 Physiology 34h33m,03 Muscle,02 Muscle - Skeletal Muscle Mechanics.mp4,25.906
22,07 Physiology 34h33m,03 Muscle,01 Muscle - Excitation-Contraction Coupling.mp4,34.514
23,07 Physiology 34h33m,09 Clinical Correlates & Animations,06 Cardiac Action Potential.mp4,11.53783333
24,07 Physiology 34h33m,09 Clinical Correlates & Animations,02 Hypertrophic Cardiomyopathy.mp4,19.97216667
25,07 Physiology 34h33m,09 Clinical Correlates & Animations,01 Fetal Lung Maturity.mp4,17.96333333
26,07 Physiology 34h33m,09 Clinical Correlates & Animations,04 Neuromuscular Junction.mp4,8.35
27,07 Physiology 34h33m,09 Clinical Correlates & Animations,03 Respiration.mp4,5.388833333
28,07 Physiology 34h33m,09 Clinical Correlates & Animations,07 Renal Tubular Acidosis.mp4,9.466666667
29,07 Physiology 34h33m,09 Clinical Correlates & Animations,05 Biosynthetic Pathways of Adrenal Steroid Hormones.mp4,20.74783333
30,07 Physiology 34h33m,09 Clinical Correlates & Animations,08 Control of Gastric Acid Secretions.mp4,7.017833333
31,07 Physiology 34h33m,06 Renal,04 Solute Transport - Transport Mechanisms and Clearance.mp4,29.718
32,07 Physiology 34h33m,06 Renal,12 Acid Base Disturbances - Review Questions.mp4,14.544
33,07 Physiology 34h33m,06 Renal,03 Renal Structure and Glomerular Filtration - Filtration Fraction.mp4,24.88716667
34,07 Physiology 34h33m,06 Renal,07 Regional Transport - Proximal Tubule and Loop of Henle.mp4,41.93633333
35,07 Physiology 34h33m,06 Renal,09 Regional Transport - Associated Pathologies.mp4,43.34
36,07 Physiology 34h33m,06 Renal,10 Acid Base Disturbances - Buffering Systems.mp4,32.46416667
37,07 Physiology 34h33m,06 Renal,02 Renal Structure and Glomerular Filtration - Factors Determining Filtration Pressure.mp4,27.82283333
38,07 Physiology 34h33m,06 Renal,05 Solute Transport - Reabsorption and Secretion.mp4,40.0395
39,07 Physiology 34h33m,06 Renal,08 Regional Transport - Distal Tubule and Collecting Ducts.mp4,29.78416667
40,07 Physiology 34h33m,06 Renal,11 Acid Base Disturbances - Plasma Anion Gap and Davenport Plots.mp4,30.23366667
41,07 Physiology 34h33m,06 Renal,01 Renal Structure and Glomerular Filtration - Overview of the Renal System.mp4,36.26233333
42,07 Physiology 34h33m,06 Renal,06 Clinical Estimation of GFR and Patterns of Clearance - Clinical Estimation of GFR and Patterns of Clearance.mp4,25.47933333
43,07 Physiology 34h33m,05 Respiration,05 Causes and Evaluation of Hypoxemia - Causes and Evaluation of of Hypoxemia.mp4,40.015
44,07 Physiology 34h33m,05 Respiration,"01 Lung Mechanics - Lung Volumes, Ventilation, Inspiration.mp4",40.257
45,07 Physiology 34h33m,05 Respiration,"02 Lung Mechanics - Expiration, Lung Compliance, Pulmonary Function Testing.mp4",51.73066667
46,07 Physiology 34h33m,05 Respiration,03 Alveolar-Blood Gas Exchange - Alveolar-Blood Gas Exchange.mp4,25.9515
47,07 Physiology 34h33m,05 Respiration,04 Transport of O2 and CO2 and the Regulation of Ventilation - Transport of O2 and CO2 and the Regulation of Ventilation.mp4,41.56383333
48,07 Physiology 34h33m,Gastrointestinal (2019),01 Overview of the GI Tract.mp4,17.94683333
49,07 Physiology 34h33m,Gastrointestinal (2019),"04 Pancreatic, Bile and Small Intestine Secretions.mp4",33.51066667
50,07 Physiology 34h33m,Gastrointestinal (2019),"05 Digestion, Absorption, Electrolytes and Diarrhea.mp4",13.85116667
51,07 Physiology 34h33m,Gastrointestinal (2019),03 Salivary and Gastric Secretions.mp4,21.20183333
52,07 Physiology 34h33m,Gastrointestinal (2019),02 Motility.mp4,26.139
53,07 Physiology 34h33m,08 Gastrointestinal,13 Gastrointestinal Physiology - Lipid Absorption.mp4,5.813333333
54,07 Physiology 34h33m,08 Gastrointestinal,02 Gastrointestinal Physiology - Endocrine Control.mp4,8.829833333
55,07 Physiology 34h33m,08 Gastrointestinal,09 Gastrointestinal Physiology - Pancreatic Secretions.mp4,5.225166667
56,07 Physiology 34h33m,08 Gastrointestinal,05 Gastrointestinal Physiology - Disorders of the Esophagus.mp4,8.845333333
57,07 Physiology 34h33m,08 Gastrointestinal,14 Gastrointestinal Physiology - Electrolytes.mp4,6.221333333
58,07 Physiology 34h33m,08 Gastrointestinal,03 Gastrointestinal Physiology - Characteristics of Smooth Muscle.mp4,7.561166667
59,07 Physiology 34h33m,08 Gastrointestinal,04 Gastrointestinal Physiology - Swallowing.mp4,5.3525
60,07 Physiology 34h33m,08 Gastrointestinal,11 Gastrointestinal Physiology - Small Intestine Secretions.mp4,4.390666667
61,07 Physiology 34h33m,08 Gastrointestinal,12 Gastrointestinal Physiology - Digestion and Absorption of Carbohydrates and Proteins.mp4,7.5045
62,07 Physiology 34h33m,08 Gastrointestinal,06 Gastrointestinal Physiology - GI Motility and Defecation.mp4,9.480166667
63,07 Physiology 34h33m,08 Gastrointestinal,01 Gastrointestinal Physiology - Overview of the Gastrointestinal Tract and Nervous Control.mp4,7.253166667
64,07 Physiology 34h33m,08 Gastrointestinal,08 Gastrointestinal Physiology - Gastric Secretions.mp4,6.705
65,07 Physiology 34h33m,08 Gastrointestinal,07 Gastrointestinal Physiology - Salivary Secretions.mp4,4.451333333
66,07 Physiology 34h33m,08 Gastrointestinal,10 Gastrointestinal Physiology - Composition and Formation of Bile.mp4,14.24666667
67,07 Physiology 34h33m,07 Endocrinology,05 Functional Adrenals - Physiologic Actions of Glucocorticoids.mp4,13.75383333
68,07 Physiology 34h33m,07 Endocrinology,21 Reproductive Endocrinology - Pregnancy.mp4,31.11616667
69,07 Physiology 34h33m,07 Endocrinology,03 Anterior and Posterior Pituitary - Posterior Pituitary.mp4,35.942
70,07 Physiology 34h33m,07 Endocrinology,10 Functional Adrenals - Adrenal Medulla.mp4,12.52983333
71,07 Physiology 34h33m,07 Endocrinology,16 Thyroid Hormones - Pathologic Changes.mp4,16.54383333
72,07 Physiology 34h33m,07 Endocrinology,15 Thyroid Hormones - Biosynthesis and Transport.mp4,24.7515
73,07 Physiology 34h33m,07 Endocrinology,20 Reproductive Endocrinology - Female Sex Steroids.mp4,18.39283333
74,07 Physiology 34h33m,07 Endocrinology,19 Reproductive Endocrinology - Menstrual Cycle.mp4,19.6575
75,07 Physiology 34h33m,07 Endocrinology,18 Reproductive Endocrinology - Male Reproductive System.mp4,20.2025
76,07 Physiology 34h33m,07 Endocrinology,07 Functional Adrenals - Glucocorticoid Disorders.mp4,27.42083333
77,07 Physiology 34h33m,07 Endocrinology,06 Functional Adrenals - Physiologic Actions of Aldosterone.mp4,18.76933333
78,07 Physiology 34h33m,07 Endocrinology,"17 Growth, Growth Hormone and Puberty - Growth, Growth Hormone and Puberty.mp4",17.8445
79,07 Physiology 34h33m,07 Endocrinology,08 Functional Adrenals - Mineralocorticoid Disorders.mp4,11.58216667
80,07 Physiology 34h33m,07 Endocrinology,09 Functional Adrenals - Enzyme Deficiencies.mp4,18.16316667
81,07 Physiology 34h33m,07 Endocrinology,14 Hormonal Control of Calcium and Phosphate - Disorders.mp4,23.5775
82,07 Physiology 34h33m,07 Endocrinology,12 Endocrine Pancreas - Diabetes Mellitus.mp4,23.473
83,07 Physiology 34h33m,07 Endocrinology,04 Functional Adrenals - Regions and Steroid Hormone Synthesis.mp4,21.8985
84,07 Physiology 34h33m,07 Endocrinology,01 General Aspects of the Endocrine System - General Aspects of the Endocrine System.mp4,30.1635
85,07 Physiology 34h33m,07 Endocrinology,13 Hormonal Control of Calcium and Phosphate - Overview.mp4,20.55216667
86,07 Physiology 34h33m,07 Endocrinology,02 Anterior and Posterior Pituitary - Hypothalamic-Anterior Pituitary System.mp4,26.05883333
87,07 Physiology 34h33m,07 Endocrinology,11 Endocrine Pancreas - Insulin and Glucagon.mp4,26.799
88,07 Physiology 34h33m,Fluid & Edema (2019),01 Fluid Distribution and Edema.mp4,39.05233333
89,07 Physiology 34h33m,02 Excitable Tissue,01 Excitable Tissue - Ionic Equilibrium and Resting Membrane Potential.mp4,42.06883333
90,07 Physiology 34h33m,02 Excitable Tissue,04 Excitable Tissue - Electrocardiology.mp4,46.22183333
91,07 Physiology 34h33m,02 Excitable Tissue,03 Excitable Tissue - Electrical Activity of the Heart.mp4,30.39533333
92,07 Physiology 34h33m,02 Excitable Tissue,02 Excitable Tissue - The Neuron Action Potential and Synaptic Transmission.mp4,66.9915
93,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,15 Leading Change and Key Definitions - Key Definitions.mp4,21.54266667
94,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,12 Principles of Quality Improvement - Measures of Quality.mp4,3.894833333
95,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,05 Scope of the Problem- Unplanned Readmissions.mp4,3.446166667
96,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,04 Scope of the Problem- Patient Falls.mp4,2.704
97,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,01 Scope of the Problem-Scope of the Problem.mp4,5.248
98,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,13 Principles of Quality Improvement - Models of Quality Improvement _ Kaptest.com - Google Chrome 2021-03-21 18-45-24.mp4,11.35033333
99,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,06 Medical Error - Causes of Medical Error.mp4,11.52433333
100,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,10 Medical Error - Analysis of Medical Errors.mp4,3.460166667
101,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,03 Scope of the Problem- Hospital-Acquired Infections.mp4,5.559333333
102,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,07 Medical Error - Types of Medical Error.mp4,12.8625
103,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,02 Scope of the Problem- Medication Err.mp4,3.944333333
104,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,09 Medical Error - Error Disclosure and Reporting.mp4,6.817333333
105,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,14 Leading Change and Key Definitions - Leading Change in Patient Safety.mp4,5.384666667
106,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,11 Principles of Quality Improvement - STEEP.mp4,3.307833333
107,03 PATIENT SAFETY 1h50m,01 Basic Science of Patient Safety,08 Medical Error - Systems Approach to Medical Error and Failure.mp4,8.981
108,Microbiology 2019,03 Viruses,080. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Togaviridae.mp4,5.277833333
109,Microbiology 2019,03 Viruses,086. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Filoviridae.mp4,1.606666667
110,Microbiology 2019,03 Viruses,093. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Viral Genetics.mp4,4.912166667
111,Microbiology 2019,03 Viruses,092. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Prion Diseases.mp4,5.157833333
112,Microbiology 2019,03 Viruses,079. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Flaviviridae.mp4,6.841166667
113,Microbiology 2019,03 Viruses,076. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Caliciviridae.mp4,3.6
114,Microbiology 2019,03 Viruses,077. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Hepeviridae.mp4,0.3345
115,Microbiology 2019,03 Viruses,067. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Viral Hepatitis.mp4,28.5255
116,Microbiology 2019,03 Viruses,074. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Poxviridae.mp4,6.098833333
117,Microbiology 2019,03 Viruses,088. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Bunyaviridae.mp4,2.5355
118,Microbiology 2019,03 Viruses,064. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Viral Replication.mp4,31.92
119,Microbiology 2019,03 Viruses,085. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Rhabdoviridae.mp4,6.5355
120,Microbiology 2019,03 Viruses,075. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - RNA Viruses.mp4,4.781166667
121,Microbiology 2019,03 Viruses,082. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Retroviridae.mp4,24.3845
122,Microbiology 2019,03 Viruses,068. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - DNA Viruses Characteristics.mp4,8.371166667
123,Microbiology 2019,03 Viruses,072. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Adenoviridae.mp4,8.007833333
124,Microbiology 2019,03 Viruses,089. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Arenaviridae.mp4,1.2245
125,Microbiology 2019,03 Viruses,084. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Paramyxoviridae.mp4,10.49883333
126,Microbiology 2019,03 Viruses,063. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Structure and Morphology.mp4,3.74
127,Microbiology 2019,03 Viruses,066. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Host Resistance to Viral Infection.mp4,9.367833333
128,Microbiology 2019,03 Viruses,071. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Polyomaviridae.mp4,1.5355
129,Microbiology 2019,03 Viruses,073. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Herpesviridae.mp4,42.0345
130,Microbiology 2019,03 Viruses,078. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Picornaviridae.mp4,11.04666667
131,Microbiology 2019,03 Viruses,087. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Orthomyxoviridae.mp4,10.2155
132,Microbiology 2019,03 Viruses,091. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Oncogenic Viruses.mp4,1.3955
133,Microbiology 2019,03 Viruses,065. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Patterns of Viral Infections.mp4,12.4655
134,Microbiology 2019,03 Viruses,069. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Parvoviridae.mp4,7.48
135,Microbiology 2019,03 Viruses,081. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Coronaviridae.mp4,2.8745
136,Microbiology 2019,03 Viruses,070. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Papillomaviridae.mp4,11.36333333
137,Microbiology 2019,03 Viruses,090. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Reoviridae.mp4,2.02
138,Microbiology 2019,03 Viruses,083. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Negative-Stranded RNA Viruses.mp4,4.841166667
139,Microbiology 2019,01 General Microbiology,02 General Microbiology - Pathogenicity (Infectivity and Toxicity) Major Mechanisms.mp4,20.63783333
140,Microbiology 2019,01 General Microbiology,01 General Microbiology - Major Microbial Groups.mp4,15.9845
141,Microbiology 2019,01 General Microbiology,03 General Microbiology - Toxins.mp4,15.13883333
142,Microbiology 2019,04 Fungi,096. Microbiology - Sec. II Medically Important Fungi - Nonsystemic Fungal Infections.mp4,12.2745
143,Microbiology 2019,04 Fungi,095. Microbiology - Sec. II Medically Important Fungi - Fungal Morphology.mp4,5.5
144,Microbiology 2019,04 Fungi,094. Microbiology - Sec. II Medically Important Fungi - Mycology.mp4,2.3
145,Microbiology 2019,04 Fungi,097. Microbiology - Sec. II Medically Important Fungi - Deep Fungal Infections.mp4,30.17783333
146,Microbiology 2019,02 Bacteria,006. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Bacterial Growth and Death.mp4,2.8355
147,Microbiology 2019,02 Bacteria,018. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Listeria.mp4,12.10783333
148,Microbiology 2019,02 Bacteria,014. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Enterococcus.mp4,3.648833333
149,Microbiology 2019,02 Bacteria,019. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Corynebacterium.mp4,9.833333333
150,Microbiology 2019,02 Bacteria,058. Microbiology - Sec. II Microbial Genetics Drug Resistance - Rearrangement of DNA Within A Bacterium.mp4,4.97
151,Microbiology 2019,02 Bacteria,044. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Pasteurella.mp4,2.4745
152,Microbiology 2019,02 Bacteria,062. Microbiology - Sec. II Microbial Genetics Drug Resistance - Antibiotic Susceptibility Testing.mp4,9.256666667
153,Microbiology 2019,02 Bacteria,057. Microbiology - Sec. II Microbial Genetics Drug Resistance - The Bacterial Genetic Material.mp4,3.9245
154,Microbiology 2019,02 Bacteria,053. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Chlamydophila.mp4,3.787833333
155,Microbiology 2019,02 Bacteria,037. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Klebsiella.mp4,5.482166667
156,Microbiology 2019,02 Bacteria,042. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Haemophilus.mp4,12.01783333
157,Microbiology 2019,02 Bacteria,004. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Detailed Overview.mp4,8.831166667
158,Microbiology 2019,02 Bacteria,023. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Gram-Negative Cocci.mp4,0.636666667
159,Microbiology 2019,02 Bacteria,011. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Gram-Positive Cocci.mp4,11.15116667
160,Microbiology 2019,02 Bacteria,020. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Actinomyces.mp4,5.813333333
161,Microbiology 2019,02 Bacteria,016. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Bacillus.mp4,11.58216667
162,Microbiology 2019,02 Bacteria,007. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Culture of Microorganisms.mp4,7.188833333
163,Microbiology 2019,02 Bacteria,043. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Gardnerella.mp4,4.9855
164,Microbiology 2019,02 Bacteria,049. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Treponema.mp4,11.57783333
165,Microbiology 2019,02 Bacteria,041. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Salmonella.mp4,21.42666667
166,Microbiology 2019,02 Bacteria,046. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - HACEK Group Infections.mp4,2.206666667
167,Microbiology 2019,02 Bacteria,033. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Helicobacter.mp4,6.481166667
168,Microbiology 2019,02 Bacteria,027. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Pseudomonas.mp4,9.621166667
169,Microbiology 2019,02 Bacteria,036. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Escherichia.mp4,17.8855
170,Microbiology 2019,02 Bacteria,039. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Yersinia.mp4,10.9
171,Microbiology 2019,02 Bacteria,026. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Gram-Negative Bacilli.mp4,0.893333333
172,Microbiology 2019,02 Bacteria,031. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Brucella.mp4,7.591166667
173,Microbiology 2019,02 Bacteria,038. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Shigella.mp4,8.228833333
174,Microbiology 2019,02 Bacteria,035. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Family Enterobacteriaceae.mp4,7.7755
175,Microbiology 2019,02 Bacteria,060. Microbiology - Sec. II Microbial Genetics Drug Resistance - Conjugal Crosses.mp4,23.13666667
176,Microbiology 2019,02 Bacteria,045. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Additional Organisms Associated with Animal and Human Bites.mp4,4.6755
177,Microbiology 2019,02 Bacteria,008. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Anaerobic and Aerobic.mp4,5.433333333
178,Microbiology 2019,02 Bacteria,052. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Family Chlamydiaceae.mp4,12.3445
179,Microbiology 2019,02 Bacteria,056. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Family Mycoplasmataeceae.mp4,7.126666667
180,Microbiology 2019,02 Bacteria,048. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Introduction to Spiral Shaped Gram Negative Rods.mp4,0.621166667
181,Microbiology 2019,02 Bacteria,050. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Borrelia.mp4,7.456666667
182,Microbiology 2019,02 Bacteria,030. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Bordetella.mp4,12.57666667
183,Microbiology 2019,02 Bacteria,022. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Mycobacterium.mp4,32.96666667
184,Microbiology 2019,02 Bacteria,051. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Leptospira.mp4,3.206666667
185,Microbiology 2019,02 Bacteria,047. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Bacteroides.mp4,3.402166667
186,Microbiology 2019,02 Bacteria,025. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Moraxella.mp4,1.991166667
187,Microbiology 2019,02 Bacteria,012. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Staphylococcus.mp4,19.85883333
188,Microbiology 2019,02 Bacteria,015. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Gram-Positive Rods.mp4,2.9455
189,Microbiology 2019,02 Bacteria,055. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Ehrlichia.mp4,3.712166667
190,Microbiology 2019,02 Bacteria,061. Microbiology - Sec. II Microbial Genetics Drug Resistance - Drug Resistance.mp4,12.9855
191,Microbiology 2019,02 Bacteria,009. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Stains.mp4,5.667833333
192,Microbiology 2019,02 Bacteria,059. Microbiology - Sec. II Microbial Genetics Drug Resistance - Mechanisms of DNA Exchange.mp4,8.943333333
193,Microbiology 2019,02 Bacteria,013. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Streptococcus.mp4,30.07666667
194,Microbiology 2019,02 Bacteria,032. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Campylobacter.mp4,10.12216667
195,Microbiology 2019,02 Bacteria,028. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Legionella.mp4,6.761166667
196,Microbiology 2019,02 Bacteria,029. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Francisella.mp4,6.322166667
197,Microbiology 2019,02 Bacteria,024. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Neisseria.mp4,24.57783333
198,Microbiology 2019,02 Bacteria,010. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Gram-Staining Reactions.mp4,5.0945
199,Microbiology 2019,02 Bacteria,021. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Nocardia.mp4,3.931166667
200,Microbiology 2019,02 Bacteria,034. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Vibrio.mp4,9.756666667
201,Microbiology 2019,02 Bacteria,054. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Rickettsia.mp4,6.908833333
202,Microbiology 2019,02 Bacteria,040. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Proteus.mp4,5.06
203,Microbiology 2019,02 Bacteria,005. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Endospores.mp4,3.161166667
204,Microbiology 2019,02 Bacteria,017. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Clostridium.mp4,33.0155
205,Microbiology 2019,05 Parasitology,099. Microbiology - Sec. II Medical Parasitology - Important Protozoan Parasites.mp4,13.50216667
206,Microbiology 2019,05 Parasitology,100. Microbiology - Sec. II Medical Parasitology - Free Living Amoebae.mp4,2.762166667
207,Microbiology 2019,05 Parasitology,104. Microbiology - Sec. II Medical Parasitology - Trematodes.mp4,11.10216667
208,Microbiology 2019,05 Parasitology,105. Microbiology - Sec. II Medical Parasitology - Cestodes.mp4,9.5045
209,Microbiology 2019,05 Parasitology,106. Microbiology - Sec. II Medical Parasitology - Nematodes.mp4,20.93116667
210,Microbiology 2019,05 Parasitology,101. Microbiology - Sec. II Medical Parasitology - Plasmodium.mp4,9.076666667
211,Microbiology 2019,05 Parasitology,103. Microbiology - Sec. II Medical Parasitology - Miscellaneous.mp4,7.677833333
212,Microbiology 2019,05 Parasitology,102. Microbiology - Sec. II Medical Parasitology - Hemoflagellates.mp4,8.1545
213,Microbiology 2019,05 Parasitology,098. Microbiology - Sec. II Medical Parasitology - Classification of Parasites.mp4,4.187833333
214,06 Microbiology 29h21m,06 Infectious Disease,01 Clinical Infectious Disease - Clinical Infectious Disease.mp4,8.492333333
215,06 Microbiology 29h21m,03 Viruses,27 Negative-Sense RNA Viruses - Double-Stranded RNA and Slow Conventional Viruses.mp4,6.517666667
216,06 Microbiology 29h21m,03 Viruses,04 DNA Viruses - DNA Viruses.mp4,15.72216667
